app_id,ssn,zip_code,income,homeownership,purchases,credit_limit,fico,num_late,past_def,num_bankruptcy,avg_income,density
565887.0,149028659.0,45050.0,21000.0,1,11392.2795207274,12000.0,879.0,1.0,0.0,0.0,80718.9858642845,21.6907841286542
885020.0,885011963.0,73029.0,51000.0,1,20262.4258284039,21700.0,613.0,1.0,0.0,0.0,73822.9938407615,0.324828077331426
142273.0,982218235.0,96590.0,49000.0,1,12701.6447545371,27800.0,681.0,0.0,0.0,0.0,80839.4629806249,445.814609607274
707094.0,652118855.0,32882.0,17000.0,1,6274.59047355031,8800.0,752.0,0.0,0.0,0.0,36691.9808481582,46.6982185428704
724171.0,347303159.0,26651.0,71000.0,0,6865.85223722829,6900.0,644.0,3.0,0.0,0.0,69307.4556437663,23.2576282786885
197677.0,356611737.0,65485.0,49000.0,1,21824.2315913231,26900.0,564.0,0.0,0.0,0.0,74557.9001198926,447.882039006165
650162.0,569298604.0,17517.0,77000.0,1,2157.38645737651,10600.0,693.0,2.0,0.0,0.0,43464.4167586362,511.484040859861
538510.0,129365981.0,97279.0,38000.0,1,4356.37154738117,19500.0,715.0,1.0,0.0,0.0,55897.4947109771,516.998395060053
722965.0,857627770.0,70357.0,101000.0,1,5153.91654676109,17400.0,819.0,0.0,0.0,0.0,56754.4014444003,0.979739382031909
342054.0,841784841.0,74567.0,80000.0,1,4909.0907413259,37100.0,627.0,0.0,0.0,0.0,30739.1754637545,203.987018596599
356211.0,923283534.0,80393.0,100000.0,0,7275.02808122619,7300.0,720.0,1.0,0.0,0.0,50352.8473789895,997.678030479632
869745.0,888614768.0,53062.0,24000.0,1,39841.473607051,40600.0,494.0,1.0,1.0,1.0,27913.8255559723,23.4478716298223
725659.0,729872742.0,82143.0,64000.0,1,8384.89400053147,8400.0,607.0,2.0,0.0,0.0,63338.7080041456,32.6784349243111
153678.0,270398081.0,24754.0,53000.0,0,5827.86631368421,9600.0,631.0,1.0,0.0,0.0,49917.1849927847,41.6275122373712
934112.0,630293908.0,69981.0,80000.0,0,8114.26444938464,10600.0,668.0,1.0,0.0,0.0,71641.0573229969,627.13448299527
619712.0,842659057.0,28928.0,102000.0,1,1075.41193582592,10200.0,644.0,0.0,0.0,0.0,83365.4006397735,117.442398309048
562199.0,693951195.0,16004.0,55000.0,1,4121.67624884157,11600.0,593.0,0.0,0.0,0.0,53091.3658156501,9.02154080938497
546499.0,920900007.0,98215.0,38000.0,0,20589.3217831427,23700.0,531.0,2.0,0.0,0.0,58622.7858637452,408.392101690729
318683.0,707050679.0,80141.0,64000.0,1,10724.6161409192,23600.0,601.0,0.0,0.0,0.0,68882.4821779721,805.737308688824
173095.0,492308897.0,46279.0,55000.0,1,8322.28720157053,24800.0,890.0,0.0,0.0,0.0,40709.9445835901,56.1724940315214
526233.0,205353880.0,66836.0,81000.0,1,1549.40372351871,22400.0,855.0,0.0,0.0,0.0,60181.5358257112,3.34756885963904
427021.0,213264023.0,54961.0,53000.0,1,1844.40579309147,9200.0,663.0,2.0,0.0,0.0,55863.8553762368,1147.8648057169
703341.0,198189246.0,50564.0,37000.0,1,11667.4766745673,24500.0,651.0,0.0,0.0,0.0,71516.9171932645,44.5348010132538
381188.0,134336138.0,51392.0,45000.0,1,7970.95097265178,26000.0,650.0,1.0,0.0,0.0,74221.6238983769,93.7226482205775
541834.0,635357103.0,96204.0,35000.0,1,4969.38795331348,10800.0,822.0,0.0,0.0,0.0,89244.9779185179,182.730145900216
535728.0,817440704.0,56297.0,53000.0,1,4544.42025997191,21700.0,833.0,0.0,0.0,0.0,78504.8032427448,1023.62094366204
860994.0,878897325.0,30185.0,67000.0,1,5838.32499493073,25800.0,706.0,0.0,0.0,0.0,86408.1008194594,2.91334516271618
487956.0,314118410.0,18697.0,81000.0,1,16537.1073556158,31900.0,584.0,1.0,0.0,0.0,63658.3928887985,1292.93210271802
333669.0,695112118.0,65283.0,71000.0,1,22103.6309841938,37500.0,624.0,0.0,0.0,0.0,51344.3883914554,363.161150778972
