app_id,ssn,zip_code,income,homeownership,purchases,credit_limit,fico,num_late,past_def,num_bankruptcy,avg_income,density,log_odds_utils
102227.0,123817237.0,49020.0,47000.0,1,3097.15720038699,3100.0,816.0,0.0,0.0,0.0,65643.445730754,66.1251960228122,1.000458796575528
109792.0,589049197.0,61116.0,71000.0,0,13689.5668041389,24300.0,687.0,0.0,0.0,0.0,44187.7078677774,2.13087678554399,1.3142129980697648
110171.0,322099062.0,77562.0,38000.0,1,6774.73020575145,15200.0,721.0,0.0,0.0,0.0,64654.4989777263,3.79703130694844,1.4578829800556696
113087.0,848114225.0,15985.0,68000.0,1,8895.21432707288,25200.0,560.0,1.0,0.0,0.0,63213.2254119204,835.79091947286,1.6094373212617532
116110.0,946986483.0,73654.0,58000.0,0,12339.389401516,35900.0,638.0,0.0,0.0,0.0,62494.7986621948,73.1852410278417,1.6272529570091792
117545.0,732362644.0,27254.0,57000.0,1,6178.67998769877,30100.0,424.0,3.0,2.0,2.0,42112.8781138518,192.364758222568,1.9924049988428754
117842.0,857967307.0,62324.0,67000.0,1,1318.85006525362,9800.0,822.0,1.0,0.0,0.0,86774.9970770506,62.1311382798301,2.317503832311935
118829.0,940510013.0,90482.0,67000.0,1,2548.66239995078,28600.0,670.0,0.0,0.0,0.0,73598.4518539374,6.65535970414857,2.6543807138706916
119386.0,457562709.0,67996.0,58000.0,0,11401.5327870578,34000.0,536.0,2.0,0.0,0.0,61283.9362200105,1353.0429532391,1.6438651453841773
120053.0,705107138.0,97818.0,55000.0,1,4684.55127565209,10000.0,832.0,3.0,0.0,0.0,84687.4552083794,388.263440794704,1.4266245432115896
120276.0,545728946.0,19399.0,59000.0,0,7799.63684647849,7800.0,582.0,1.0,0.0,0.0,43713.7433716725,161.919534687934,1.0000232797944706
121939.0,124754707.0,35896.0,96000.0,1,14652.3873237505,29500.0,745.0,1.0,0.0,0.0,53938.1119669685,1522.75131149099,1.3903727471457277
126283.0,496846761.0,48909.0,32000.0,1,2575.303267949,10600.0,373.0,5.0,2.0,1.0,70420.2599620399,20.072120509894,1.8689552416164794
132283.0,543215991.0,46467.0,97000.0,1,3781.49556091288,10800.0,768.0,1.0,0.0,0.0,31076.4716350321,0.0751167700607278,1.6148464187581149
133427.0,713185502.0,37460.0,18000.0,1,7916.8567768617,9000.0,813.0,3.0,0.0,0.0,54266.5177254735,31.7454251952738,1.0654850368632787
134422.0,734479434.0,75693.0,97000.0,1,1018.25097764268,17700.0,562.0,0.0,0.0,0.0,70140.3379040475,387.347196674791,3.029776091411585
136327.0,837057220.0,63541.0,44000.0,1,5218.94829870715,11900.0,624.0,2.0,0.0,0.0,34212.8400593158,1070.50497152578,1.4681050402736393
139135.0,491851886.0,40136.0,98000.0,0,20050.4669517411,22500.0,530.0,3.0,0.0,0.0,39517.7293967343,17.1580770290276,1.0587383154775543
